option_sku,option_sku_compact,base_sku_norm,base_sku_raw,sheet_name,header_row,data_row,price_column_index,size_hint,case_pack,price_each,sku_case_cost,name_color_source,color_label,color_code,color_key,derivation_rule
CH-C011-S72X72-PK12,CHC011S72X72PK12,CH,CH,Stocked,33,34,4,"72"" x 72""",12,Pricing available based on individual project requirements,,"Crosshatch (has 20"" of integral mesh) Cool Gray-11, Cooper-73, Taupe-82                
standard w/ metal grommets",Cool Gray,11,C011,base_sku + color + size + case_pack
CH-C073-S72X72-PK12,CHC073S72X72PK12,CH,CH,Stocked,33,34,4,"72"" x 72""",12,Pricing available based on individual project requirements,,"Crosshatch (has 20"" of integral mesh) Cool Gray-11, Cooper-73, Taupe-82                
standard w/ metal grommets",Cooper,73,C073,base_sku + color + size + case_pack
CH-C082-S72X72-PK12,CHC082S72X72PK12,CH,CH,Stocked,33,34,4,"72"" x 72""",12,Pricing available based on individual project requirements,,"Crosshatch (has 20"" of integral mesh) Cool Gray-11, Cooper-73, Taupe-82                
standard w/ metal grommets",Taupe,82,C082,base_sku + color + size + case_pack
GR-C036-S72X72-PK12,GRC036S72X72PK12,GR,GR,Stocked,33,35,4,"72"" x 72""",12,Pricing available based on individual project requirements,,"Gracie Dune-36, Malt-45, Pearl-46, Auburn-49, Mocha-50, Palm-59, Buff-61, Steel-83, Copen-86, Cork-90, Mesa-94, Pine-95                          
standard w/ sewn eyelets",Dune,36,C036,base_sku + color + size + case_pack
GR-C045-S72X72-PK12,GRC045S72X72PK12,GR,GR,Stocked,33,35,4,"72"" x 72""",12,Pricing available based on individual project requirements,,"Gracie Dune-36, Malt-45, Pearl-46, Auburn-49, Mocha-50, Palm-59, Buff-61, Steel-83, Copen-86, Cork-90, Mesa-94, Pine-95                          
standard w/ sewn eyelets",Malt,45,C045,base_sku + color + size + case_pack
GR-C046-S72X72-PK12,GRC046S72X72PK12,GR,GR,Stocked,33,35,4,"72"" x 72""",12,Pricing available based on individual project requirements,,"Gracie Dune-36, Malt-45, Pearl-46, Auburn-49, Mocha-50, Palm-59, Buff-61, Steel-83, Copen-86, Cork-90, Mesa-94, Pine-95                          
standard w/ sewn eyelets",Pearl,46,C046,base_sku + color + size + case_pack
GR-C049-S72X72-PK12,GRC049S72X72PK12,GR,GR,Stocked,33,35,4,"72"" x 72""",12,Pricing available based on individual project requirements,,"Gracie Dune-36, Malt-45, Pearl-46, Auburn-49, Mocha-50, Palm-59, Buff-61, Steel-83, Copen-86, Cork-90, Mesa-94, Pine-95                          
standard w/ sewn eyelets",Auburn,49,C049,base_sku + color + size + case_pack
GR-C050-S72X72-PK12,GRC050S72X72PK12,GR,GR,Stocked,33,35,4,"72"" x 72""",12,Pricing available based on individual project requirements,,"Gracie Dune-36, Malt-45, Pearl-46, Auburn-49, Mocha-50, Palm-59, Buff-61, Steel-83, Copen-86, Cork-90, Mesa-94, Pine-95                          
standard w/ sewn eyelets",Mocha,50,C050,base_sku + color + size + case_pack
GR-C059-S72X72-PK12,GRC059S72X72PK12,GR,GR,Stocked,33,35,4,"72"" x 72""",12,Pricing available based on individual project requirements,,"Gracie Dune-36, Malt-45, Pearl-46, Auburn-49, Mocha-50, Palm-59, Buff-61, Steel-83, Copen-86, Cork-90, Mesa-94, Pine-95                          
standard w/ sewn eyelets",Palm,59,C059,base_sku + color + size + case_pack
GR-C061-S72X72-PK12,GRC061S72X72PK12,GR,GR,Stocked,33,35,4,"72"" x 72""",12,Pricing available based on individual project requirements,,"Gracie Dune-36, Malt-45, Pearl-46, Auburn-49, Mocha-50, Palm-59, Buff-61, Steel-83, Copen-86, Cork-90, Mesa-94, Pine-95                          
standard w/ sewn eyelets",Buff,61,C061,base_sku + color + size + case_pack
GR-C083-S72X72-PK12,GRC083S72X72PK12,GR,GR,Stocked,33,35,4,"72"" x 72""",12,Pricing available based on individual project requirements,,"Gracie Dune-36, Malt-45, Pearl-46, Auburn-49, Mocha-50, Palm-59, Buff-61, Steel-83, Copen-86, Cork-90, Mesa-94, Pine-95                          
standard w/ sewn eyelets",Steel,83,C083,base_sku + color + size + case_pack
GR-C086-S72X72-PK12,GRC086S72X72PK12,GR,GR,Stocked,33,35,4,"72"" x 72""",12,Pricing available based on individual project requirements,,"Gracie Dune-36, Malt-45, Pearl-46, Auburn-49, Mocha-50, Palm-59, Buff-61, Steel-83, Copen-86, Cork-90, Mesa-94, Pine-95                          
standard w/ sewn eyelets",Copen,86,C086,base_sku + color + size + case_pack
